ID_sitio,AÑO,LOTE,PUNTO,Ap_rosea,Microscolex dubius,Microscolex phosphoreus,Bimastos parvus ,Larva de coleópero,Megascolidae,Carabidae,Amynthas ,Elateridae,juvenil de lombriz 
L23_1_24,24,L23,1,,,,,1,,,,,
L23_2_24,24,L23,2,,,,,2,,,,,
L23_3_24,24,L23,3,,,,,1,,1,,,
L23_4_24,24,L23,4,,,,,,,,,,
L23_5_24,24,L23,5,,,,,,,,,,
BOT_1_24,24,BOT,1,,,,,3,,,,,
BOT_2_24,24,BOT,2,,,,,6,,,,,
BOT_3_24,24,BOT,3,,,,,1,,,,1,
BOT_4_24,24,BOT,4,,,,,6,,,,,
BOT_5_24,24,BOT,5,4,3,2,2,3,,,,,1
BOT_1_25,25,BOT,1,,,,,1,,,,,
BOT_2_25,25,BOT,2,3,,,2,6,,1,,1,
BOT_3_25,25,BOT,3,2,1,,,3,,,,,
BOT_4_25,25,BOT,4,,,,,4,,1,2,,
BOT_5_25,25,BOT,5,,,,,,,,,,
L23_1_25,25,L23,1,,4,,,,9,,,,
L23_2_25,25,L23,2,,1,2,,,,,3,,86
L23_3_25,25,L23,3,,4,3,,,,,,,
L23_4_25,25,L23,4,,,,,1,,,2,,1
L23_5_25,25,L23,5,,1,,1,,,,2,,
